date	html	pdf	abstract	epdf
2012-01-01	23	0	2	0
2012-02-01	35	0	2	0
2012-03-01	52	0	2	0
2012-04-01	34	0	1	0
2012-05-01	45	0	2	0
2012-06-01	32	0	0	0
2012-07-01	16	0	9	0
2012-08-01	28	0	1	0
2012-09-01	21	0	1	0
2012-10-01	29	0	1	0
2012-11-01	24	0	4	0
2012-12-01	29	0	5	0
2013-01-01	19	0	5	0
2013-02-01	26	0	5	0
2013-03-01	44	0	6	0
2013-04-01	47	0	4	0
2013-05-01	91	0	2	0
2013-06-01	34	0	5	0
2013-07-01	15	0	1	0
2013-08-01	17	0	5	0
2013-09-01	14	0	1	0
2013-10-01	21	0	2	0
2013-11-01	42	0	3	0
2013-12-01	32	0	0	0
2014-01-01	21	0	2	0
2014-02-01	57	0	1	0
2014-03-01	41	0	1	0
2014-04-01	36	0	2	0
2014-05-01	44	0	1	0
2014-06-01	41	0	1	0
2014-07-01	33	0	10	0
2014-08-01	20	0	1	0
2014-09-01	21	0	1	0
2014-10-01	69	0	1	0
2014-11-01	33	0	0	0
2014-12-01	21	0	0	0
2015-01-01	38	0	1	0
2015-02-01	28	0	3	0
2015-03-01	44	0	3	0
2015-04-01	33	0	1	0
2015-05-01	60	0	8	0
2015-06-01	34	0	1	0
2015-07-01	19	0	0	0
2015-08-01	18	0	0	0
2015-09-01	20	0	0	0
2015-10-01	35	0	2	0
2015-11-01	38	0	1	0
2015-12-01	22	0	0	0
2016-01-01	24	0	3	0
2016-02-01	20	0	1	0
2016-03-01	16	0	1	0
2016-04-01	26	0	0	0
