date	html	pdf	abstract	epdf
2012-01-01	23	0	2	0
2012-02-01	15	0	3	0
2012-03-01	28	0	4	0
2012-04-01	27	0	1	0
2012-05-01	37	0	1	0
2012-06-01	47	0	0	0
2012-07-01	32	0	8	0
2012-08-01	34	0	0	0
2012-09-01	25	0	1	0
2012-10-01	39	0	2	0
2012-11-01	37	0	0	0
2012-12-01	17	0	2	0
2013-01-01	9	0	2	0
2013-02-01	17	0	1	0
2013-03-01	33	0	2	0
2013-04-01	42	0	0	0
2013-05-01	38	0	0	0
2013-06-01	25	0	2	0
2013-07-01	24	0	4	0
2013-08-01	23	0	3	0
2013-09-01	22	0	0	0
2013-10-01	17	0	1	0
2013-11-01	25	0	3	0
2013-12-01	23	0	0	0
2014-01-01	24	0	7	0
2014-02-01	22	0	6	0
2014-03-01	31	0	4	0
2014-04-01	21	0	4	0
2014-05-01	18	0	2	0
2014-06-01	19	0	2	0
2014-07-01	38	0	13	0
2014-08-01	13	0	3	0
2014-09-01	17	0	5	0
2014-10-01	40	0	1	0
2014-11-01	37	0	2	0
2014-12-01	20	0	8	0
2015-01-01	28	0	1	0
2015-02-01	12	0	3	0
2015-03-01	23	0	2	0
2015-04-01	23	0	2	0
2015-05-01	17	0	10	0
2015-06-01	6	0	3	0
2015-07-01	19	0	5	0
2015-08-01	20	0	3	0
2015-09-01	17	0	0	0
2015-10-01	21	0	5	0
2015-11-01	19	0	3	0
2015-12-01	23	0	5	0
2016-01-01	21	0	2	0
2016-02-01	26	0	2	0
2016-03-01	18	0	1	0
2016-04-01	26	0	2	0
