date	html	pdf	abstract	epdf
2012-01-01	6	0	0	0
2012-02-01	7	0	0	0
2012-03-01	4	1	0	0
2012-04-01	7	4	0	0
2012-05-01	4	1	0	0
2012-06-01	2	1	0	0
2012-07-01	1	0	0	0
2012-08-01	4	1	0	0
2012-09-01	2	3	0	0
2012-10-01	5	1	0	0
2012-11-01	2	2	0	0
2012-12-01	1	0	0	0
2013-01-01	2	0	0	0
2013-02-01	6	3	0	0
2013-03-01	4	2	0	0
2013-04-01	7	0	0	0
2013-05-01	15	0	0	0
2013-06-01	5	0	0	0
2013-07-01	2	1	0	0
2013-08-01	1	1	0	0
2013-09-01	5	0	0	0
2013-10-01	6	1	0	0
2013-11-01	1	0	0	0
2013-12-01	1	0	0	0
2014-01-01	2	2	0	0
2014-02-01	2	2	0	0
2014-03-01	9	1	0	0
2014-04-01	4	1	0	0
2014-05-01	1	1	0	0
2014-06-01	1	1	0	0
2014-07-01	11	4	0	0
2014-08-01	7	5	0	0
2014-09-01	1	1	0	0
2014-10-01	3	2	0	0
2014-11-01	6	2	0	0
2014-12-01	2	4	0	0
2015-01-01	23	1	0	0
2015-02-01	3	0	0	0
2015-03-01	3	0	0	0
2015-04-01	2	0	0	0
2015-05-01	10	5	0	0
2015-06-01	3	6	0	0
2015-07-01	2	2	0	0
2015-08-01	5	1	0	0
2015-09-01	4	0	0	0
2015-10-01	9	1	0	0
2015-11-01	9	2	0	0
2015-12-01	14	0	0	0
2016-01-01	10	4	0	0
2016-02-01	4	2	0	0
2016-03-01	10	4	0	0
2016-04-01	14	4	0	0
